Minor_Damage_And_Injuries,Significant_Damage_And_Fatalities,Significant_Damage_And_Serious_Injuries,Highly_Fatal_And_Damaging,Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric
1,0,0,0,49.2237442922374,14,22,71.285323609845,0.272117562206996,78.04,2,31335.4768243775,3,0.42435208330785296
1,0,0,0,62.4657534246575,10,27,72.2880583409298,0.42393869455463395,84.54,2,26024.711057085402,2,0.352349972573073
0,1,0,0,63.0593607305936,13,16,66.362807657247,0.322604399567255,78.86,7,39269.0539266116,3,0.0033639069942974697
0,0,1,0,48.082191780821894,11,9,74.7037374658159,0.33702921024161503,81.79,3,42771.4992003673,1,0.211728167404242
0,1,0,0,26.4840182648402,13,25,47.9489516864175,0.541140281283808,77.16,3,35509.2285154196,2,0.17688336838481103
1,0,0,0,43.3333333333333,15,0,73.33637192342749,0.43295420122610906,78.63,2,29288.448104915497,1,0.394504816380126
0,0,0,1,22.0091324200913,15,10,62.853236098450296,0.314670753696357,88.04,4,32342.109345125602,0,0.0588715558622953
1,0,0,0,24.703196347031998,18,4,60.80218778486779,0.5483526866209879,83.48,4,22547.195241547597,2,0.0404193589227867
0,0,0,1,54.84018264840179,5,40,69.2342752962625,0.335586729174179,78.24,2,45751.983412795096,0,0.6191857633807429
0,0,1,0,52.2374429223744,6,4,57.4293527803099,0.465410025243419,79.56,1,37933.3990008527,1,1.3892954965549498
0,0,0,1,36.6666666666667,11,11,80.21877848678221,0.45278831590335294,81.15,2,31463.568565177902,2,0.424911513212429
0,0,1,0,48.1278538812785,11,2,62.807657247037405,0.329095564370718,77.8,3,22570.030397977098,4,0.111873408309966
0,0,1,0,42.8767123287671,12,14,68.9608021877849,0.15960403894698902,77.23,3,44697.8687399317,3,0.22251011202462803
0,1,0,0,63.6529680365297,13,4,78.669097538742,0.232088712585647,80.78,7,30882.7263765865,3,0.00256728363044899
0,0,0,1,26.027397260274,14,2,83.54603463992709,0.3629938694554629,81.63,3,18915.509024870702,2,0.0958059182791733
0,0,0,1,49.5890410958904,7,1,85.5515041020967,0.27031446087270106,78.86,3,25083.6579094431,2,0.12376105756485901
0,0,0,1,10.867579908675802,18,1,68.003646308113,0.309622069960331,82.08,6,47893.7179720062,3,0.0112415293720467
0,1,0,0,38.767123287671204,10,4,37.8304466727438,0.600282005048683,80.82,4,35910.2004117809,1,0.0665145741903083
0,1,0,0,78.2191780821918,8,3,61.485870556062004,0.33811107104219196,82.2,2,34354.111221382205,2,0.462514456126825
0,1,0,0,20.2283105022831,15,2,41.5679124886053,0.687191489361702,78.37,2,11503.388560834199,1,0.15978428784918697
1,0,0,0,52.4657534246575,13,0,73.2452142206017,0.22199134511359503,81.62,2,39835.7183100935,1,0.538862339469786
1,0,0,0,38.4474885844749,17,5,74.9316317228806,0.326571222502704,79.31,2,37435.5727950293,2,0.50848625905791
0,0,0,1,44.84018264840179,8,2,80.5834092980857,0.249759105661738,78.21,4,45783.5276614128,0,0.0839917945185517
1,0,0,0,43.8812785388128,15,1,68.003646308113,0.338471691309052,78.97,1,45541.2367525593,2,1.66486418964678
0,1,0,0,25.296803652968002,14,5,47.265268915223395,0.5948727010457989,76.19,5,49288.6355066503,3,0.0324373855024073
0,1,0,0,61.8264840182648,13,7,66.1349134001823,0.423217454020916,78.07,6,42607.0710974919,1,0.0106066637907699
0,1,0,0,59.2694063926941,14,3,61.6226071103008,0.331980526505589,90.87,7,32342.3133839545,3,0.0030220785773064102
0,0,0,1,24.337899543379002,14,0,70.7839562443026,0.267790119004688,76.75,4,26538.322262979,1,0.0486259930836168
0,1,0,0,55.0228310502283,15,9,70.3281677301732,0.5122906599350879,77.03,7,28451.0147010119,0,0.0029156570877262103
0,0,0,1,65.7534246575342,5,20,48.1312670920693,0.6381471330688779,79.75,3,39150.6721955048,1,0.19486962941320102
1,0,0,0,68.7671232876712,8,2,74.65815861440291,0.33450486837360305,78.78,5,15868.4439388883,2,0.0107749305075961
1,0,0,0,32.648401826484,15,1,48.6326344576117,0.431151099891814,78.29,4,35960.976402256805,2,0.0657328863038229
0,0,0,1,48.3561643835616,7,2,76.7547857793984,0.293033537684818,77.27,4,41509.545282458,3,0.0758299007487241
0,0,0,1,53.9269406392694,12,5,44.712853236098496,0.571071763433105,78.7,5,28579.1660477413,1,0.0181978246117614
0,0,1,0,54.7488584474886,9,28,60.6198723792161,0.527436711143166,79.42,7,52249.610146137195,3,0.00460286344892508
0,1,0,0,14.5205479452055,17,3,55.6061987237922,0.30998269022719105,77.18,2,31365.239571317998,3,0.4244823581168529
